941hz,945hz,949hz,964hz,968hz,1093hz,1113hz,1132hz,1144hz,1148hz,1285hz,1363hz,1437hz,1500hz,1507hz,1519hz,1527hz,1535hz,weight
252800,169381,134952,378078,199319,24287,223326,164805,7483,97571,3985,7879,35342,31121,7161,49878,64094,64385,19.1
295544,230342,100387,279036,161837,96525,549053,163938,29347,175298,35141,21673,58216,32973,38787,13905,52432,94249,19.1
135937,112544,71626,195849,122861,51216,208559,91853,8192,50766,7768,4206,11887,17523,8095,24356,38602,52867,19.1
2723700,2180961,904764,1271934,397994,148286,105641,235749,28787,425568,26047,91609,95702,106696,48011,67362,59788,112571,19.1
524252,410831,204523,373544,287797,47400,53338,118932,18602,182146,20857,23954,15241,42519,35050,54681,78783,75374,19.1
117562,147902,200709,291949,202702,18215,48069,31496,18594,103407,19641,13412,20700,18125,4836,21951,23808,49993,19.1
158776,52349,163866,436868,218630,5660,24062,11054,9822,9886,15120,5464,17130,11475,18207,19182,24618,42685,19.1
111858,48079,214630,380526,191802,628,16598,11369,18588,18077,23970,20826,8703,23770,33617,19465,37308,46763,19.1
452517,417511,295330,268831,171055,140614,556167,150237,12669,115906,12508,14492,77069,15809,16023,22623,29321,22547,19.1
1265584,1197145,906320,72448,115560,50725,285469,424712,22407,291929,33272,14928,31022,27379,4124,25794,19823,14359,19.1
638177,463739,266655,817814,658950,54612,195145,171641,103567,139842,63780,40044,530534,106551,52957,41342,66621,78072,19.1
364458,296047,299071,464306,325178,69775,62981,63331,24495,131515,17051,20394,37336,25674,17942,12063,8209,26664,19.1
11004,18263,14147,114232,79968,12276,16824,15660,15131,9678,15295,14804,6729,15956,14723,13824,14539,9171,19.1
116414,132843,148221,145384,146282,93329,93435,107412,114119,84734,96432,92535,82959,119399,104638,107446,116351,121516,19.1
75263,53488,144871,153215,84289,73281,672796,1167627,36974,330936,60121,28127,33843,42638,101622,150877,173873,175568,29.500099
15749,20486,21044,17107,17924,69377,132066,65765,2897,10182,13653,12512,26692,14002,41628,37173,55692,65194,29.500099
10289,21597,13903,1815,17493,64160,30236,27075,8084,27082,10578,7509,9269,11546,12458,26436,40872,40847,29.500099
25440,19957,28676,29520,22697,26228,14086,9659,13040,12779,7825,10069,3150,10965,14062,15693,35914,41913,29.500099
16449,16774,37528,53259,31444,63512,128190,283382,2099,88185,1464,5143,12439,11194,10055,18182,42078,48830,29.500099
124251,111991,84796,127939,149616,98486,826786,1093946,131337,168702,96653,26223,46263,130570,217364,153506,25948,87260,29.500099
44535,42933,27862,26414,51897,49936,83334,200037,11193,42948,14287,10203,1550,21489,17896,83074,106745,115941,29.500099
217001,70963,130744,176411,192574,133418,159450,258700,59241,93651,71474,103828,18872,170015,241004,141561,382512,426028,29.500099
78235,106436,66505,55274,82232,94697,27551,60808,22523,44510,22102,39063,30019,85473,26941,97790,44948,143347,29.500099
14848,11495,22124,15710,8133,89405,29263,10100,19591,40093,19148,19950,17553,19447,17909,29720,8266,31955,29.500099
8185,18326,23244,13374,7711,51204,2571,4445,26172,22021,14660,17711,12044,17239,48070,23317,50645,89155,29.500099
39208,46622,79483,60239,30997,122100,296865,323198,10198,37826,17603,10476,11236,18915,101694,94483,159409,219300,29.500099
26264,24598,34986,25565,21588,95239,80829,25390,22557,35392,19637,17649,17434,12243,54316,59795,28734,69069,29.500099
118471,84043,197109,534974,227477,132896,132348,27608,44375,207785,29670,36559,55790,60477,90730,83995,24288,45768,23.799999
71408,47386,240217,548662,291075,66039,167888,93093,23365,176205,20973,25940,50300,69783,65956,30179,26935,12711,23.799999
