InstanceIndex,Output,Classification
1195,25.8,0
1196,20.2,1
1197,27.8,0
1198,24.1,1
1199,29.9,1
1200,26.0,0
1201,27.8,0
1202,32.900002,0
1203,28.0,0
1204,26.0,0
1205,27.8,0
1206,21.5,1
1207,26.2,0
1208,34.5,1
1209,31.65,1
1210,19.1,1
1211,27.8,0
1212,21.6,1
1213,27.8,0
1214,29.9,1
1215,27.4,1
1216,32.700001,1
1217,27.0,1
1218,28.0,0
1219,27.6,0
1220,17.6,1
1221,27.8,0
1222,21.6,1
1223,26.0,0
1224,34.150002,0
1225,28.0,0
1226,26.6,1
1227,27.8,0
1228,28.0,0
1229,28.0,0
1230,32.700001,1
1231,34.799999,0
1232,26.0,0
1233,27.8,0
1234,18.1,1
1235,28.0,1
1236,26.0,0
1237,27.4,1
1238,27.8,0
1239,28.0,0
1240,28.0,0
1241,32.700001,1
1242,26.0,0
1243,21.6,1
1244,27.6,0
1245,31.4,0
1246,27.4,1
1247,31.4,1
1248,24.1,1
1249,21.5,1
1250,26.0,0
1251,20.1,1
1252,20.2,1
1253,31.65,0
1254,23.500099,1
1255,34.150002,1
1256,28.0,0
1257,25.2,1
1258,19.200001,1
1259,26.0,0
1260,26.0,0
1261,33.400002,1
1262,22.75,1
1263,32.549999,0
1264,25.2,0
1265,26.2,0
1266,28.0,0
1267,23.75,0
1268,18.1,1
1269,27.4,1
1270,28.299999,1
1271,32.900002,0
1272,27.8,0
1273,27.8,0
1274,28.0,0
1275,27.8,0
1276,34.599998,1
1277,23.5,1
1278,26.2,0
1279,25.209999,0
1280,28.0,0
1281,28.0,0
1282,26.0,0
1283,19.5,1
1284,22.0,1
1285,26.2,0
1286,28.0,0
1287,28.299999,1
1288,26.0,0
1289,34.200001,0
1290,34.5,1
1291,23.5,1
1292,28.0,0
1293,31.65,0
1294,26.0,0
1295,27.8,0
1296,18.799999,1
1297,32.900002,0
1298,27.8,0
1299,23.75,1
1300,28.0,0
1301,28.0,0
1302,26.2,0
1303,29.9,0
1304,26.2,0
1305,28.0,0
1306,22.000999,1
1307,27.8,0
1308,31.65,1
1309,34.150002,1
1310,28.299999,0
1311,31.65,0
1312,32.650002,1
1313,29.5,0
1314,26.2,0
1315,26.2,0
1316,18.8,1
1317,26.2,0
1318,27.8,0
1319,32.549999,0
1320,30.35,0
1321,28.0,0
1322,24.4,1
1323,34.799999,0
1324,16.8,1
1325,27.6,0
1326,27.8,0
1327,34.599998,1
1328,27.8,0
1329,28.0,0
1330,27.6,0
1331,26.2,0
1332,26.0,0
1333,28.0,0
1334,23.799999,1
1335,26.0,0
1336,27.6,0
1337,28.0,0
1338,25.8,1
1339,26.0,0
1340,28.0,0
1341,27.8,0
1342,29.9,1
1343,27.8,0
1344,26.0,0
1345,28.0,0
1346,22.0,0
1347,30.35,0
1348,20.8,1
1349,25.2,0
1350,26.0,0
1351,33.5,1
1352,28.0,0
1353,20.75,1
1354,27.8,0
1355,28.0,1
1356,23.5,1
1357,28.0,0
1358,26.65,1
1359,26.2,0
1360,29.500099,0
1361,33.5,1
1362,27.8,0
1363,26.0,0
1364,26.0,0
1365,27.4,1
1366,27.6,0
1367,31.4,0
1368,19.1,1
1369,27.6,0
1370,27.8,0
1371,28.0,0
1372,25.209999,0
1373,26.0,0
1374,26.2,0
1375,31.65,0
1376,23.5,1
1377,19.200001,1
1378,19.6,1
1379,25.2,1
1380,27.8,0
1381,20.1,1
1382,31.4,1
1383,29.500099,0
1384,27.8,0
1385,23.799999,1
1386,28.0,0
1387,22.75,1
1388,22.000999,1
1389,21.5,1
1390,19.6,1
1391,28.299999,1
1392,27.8,0
1393,27.8,0
1394,27.8,0
1395,26.6,0
1396,26.6,1
1397,18.8,1
1398,22.4,1
1399,27.6,0
